"","x"
"1","CNOT6L"
"2","MOB1B"
"3","DMXL1"
"4","SEC63"
"5","CEP128"
"6","ZNF587"
"7","TTC14"
"8","ZDHHC21"
"9","MCPH1"
"10","PTPN7"
"11","REC8"
"12","TTC37"
"13","BEST1"
"14","PAK1IP1"
"15","CD59"
"16","ATE1"
"17","ZNF107"
"18","ETFDH"
"19","GPSM2"
"20","TRAF2"
"21","CTH"
"22","CPEB3"
"23","TMEM209"
"24","TMEM161B"
"25","RABEPK"
"26","GABARAPL1"
"27","NAP1L5"
"28","TMEM8A"
"29","CYB5D2"
"30","ATXN7L3B"
"31","SLC36A4"
"32","AK1"
"33","ATAD2"
"34","FHIT"
"35","SERINC5"
"36","SNED1"
"37","CDC14A"
"38","PHKB"
"39","SYT11"
"40","POGLUT1"
"41","TRPM7"
"42","HAGHL"
"43","PARP11"
"44","NDUFA3"
"45","NUS1"
"46","BBX"
"47","TES"
"48","TNFAIP8"
"49","NOL8"
"50","ZDHHC17"
"51","SH3GLB1"
"52","SETDB1"
"53","LINC00987"
"54","FAM133B"
"55","FTH1"
"56","SPEN"
"57","BIRC3"
"58","UQCC3"
"59","EIF2AK4"
"60","SLC7A1"
"61","ZMYM6"
"62","APOL6"
"63","SPAST"
"64","ZNF91"
"65","FGF9"
"66","RWDD1"
"67","HSD17B4"
"68","ZNF766"
"69","UFM1"
"70","DIP2C"
"71","LINC01220"
"72","C4orf46"
"73","MAK16"
"74","OSM"
"75","SRSF7"
"76","RAD50"
"77","FXN"
"78","HIST1H2BE"
"79","UBE2W"
"80","FAM210B"
"81","ERGIC1"
"82","C12orf43"
"83","ZNF699"
"84","PPP1R15A"
"85","SLC12A2"
"86","P3H1"
"87","SPG21"
"88","MED28"
"89","GZMA"
"90","PPM1N"
"91","FBXO28"
"92","NOL9"
"93","PDE8A"
"94","RNF19A"
"95","TRMT1L"
"96","MTMR6"
"97","COMMD5"
"98","CAMK1D"
"99","TSPYL4"
"100","RGS16"
"101","KDM7A"
"102","AGFG1"
"103","MTSS1"
"104","ARPC5"
"105","BATF"
"106","STK19"
"107","FBXW2"
"108","POLR3B"
"109","ZNF827"
"110","DYNC1LI1"
"111","FAM214A"
"112","PHPT1"
"113","NDUFA5"
"114","C1orf56"
"115","NIT1"
"116","UBE2O"
"117","GNAQ"
"118","PEX26"
"119","CCDC167"
"120","PSME1"
"121","SYNGAP1"
"122","ANKS3"
"123","HIPK1"
"124","C17orf67"
"125","OXLD1"
"126","SHQ1"
"127","CCDC77"
"128","PCNX4"
"129","NUBPL"
"130","BRD8"
"131","CCDC137"
"132","RRBP1"
"133","NRIP1"
"134","XPNPEP3"
"135","GALNT2"
"136","UNKL"
"137","ABHD12"
"138","MTMR10"
"139","ZNF540"
"140","STX7"
"141","RUBCN"
"142","SEL1L"
"143","MDM1"
"144","ATP6V1E1"
"145","AC144652.1"
"146","POLR2M"
"147","NT5DC1"
"148","KCTD10"
"149","WDR20"
"150","PAG1"
"151","BCL2L11"
"152","SLMAP"
"153","CYP4V2"
"154","IL10RB"
"155","HNRNPA2B1"
"156","INPP5D"
"157","DUSP28"
"158","CEP63"
"159","GBA2"
"160","ZFYVE28"
"161","PDE4DIP"
"162","GZMH"
"163","FANCA"
"164","SERAC1"
"165","CEP70"
"166","ZBTB40"
"167","FAM126B"
"168","COMMD2"
"169","STAM2"
"170","APH1B"
"171","BCL2"
"172","GPALPP1"
"173","UBXN7"
"174","RHOT1"
"175","KLF5"
"176","AFDN"
"177","PIGL"
"178","DENND3"
"179","NCKAP1"
"180","PANO1"
"181","KIDINS220"
"182","A2M"
"183","CCAR1"
"184","INPP5F"
"185","TOMM70"
"186","HIRIP3"
"187","SLC24A1"
"188","SUGT1"
"189","MSMO1"
"190","EZR"
"191","ADNP"
"192","CLYBL"
"193","ZNF566"
"194","ABCG1"
"195","KLRG1"
"196","TMEM123"
"197","LPP"
"198","NBPF11"
"199","RDH11"
"200","MYO9A"
"201","MAP4K4"
"202","ACTG1"
"203","TMEM33"
"204","PRCP"
"205","CARMIL1"
"206","PIM1"
"207","GJB7"
"208","PCCB"
"209","ZBTB18"
"210","ALAD"
"211","MTX3"
"212","SAMD9"
"213","NET1"
"214","ALOX5AP"
"215","ITPR2"
"216","NUSAP1"
"217","NANS"
"218","SECISBP2"
"219","SUPV3L1"
"220","ERMN"
"221","SLC16A1"
"222","LTN1"
"223","HLA-F-AS1"
"224","ZNF141"
"225","KATNBL1"
"226","SNAP23"
"227","ANKAR"
"228","KIAA0408"
"229","C3orf35"
"230","ITPR1"
"231","TRUB1"
"232","STAT4"
"233","DOK6"
"234","MSANTD4"
"235","ZNF407"
"236","NUMB"
"237","BPTF"
"238","SPTY2D1"
"239","RBM4B"
"240","GORAB"
"241","POMT1"
"242","CR1"
"243","SEC22C"
"244","CCDC28A"
"245","BZW2"
"246","REXO4"
"247","TMEM106B"
"248","KDM4A"
"249","GALNT10"
"250","HACD2"
"251","FAHD2A"
"252","ZNF507"
"253","SSH1"
"254","TBC1D4"
"255","FAM131A"
"256","CASC19"
"257","C20orf194"
"258","ZMYM1"
"259","ZADH2"
"260","WDR86-AS1"
"261","METTL4"
"262","CMTR2"
"263","COL5A3"
"264","GFPT1"
"265","NUP155"
"266","THAP1"
"267","GNLY"
"268","CD55"
"269","TMSB10"
"270","ARIH1"
"271","GIMAP4"
"272","TTLL3"
"273","PLPP5"
"274","KBTBD8"
"275","GDAP1"
"276","VPS11"
"277","RALBP1"
"278","HMGCS1"
"279","ABHD10"
"280","CD2"
"281","CRTAP"
"282","DUSP6"
"283","CIR1"
"284","NOLC1"
"285","CABP4"
"286","ITGB1"
"287","FBXO22"
"288","LINC00174"
"289","PCSK7"
"290","EMC2"
"291","RPARP-AS1"
"292","PARP6"
"293","CALCOCO1"
"294","SBNO1"
"295","JAML"
"296","USP32"
"297","MLLT11"
"298","SLC35F5"
"299","IMPDH1"
"300","CTCF"
"301","CRIPT"
"302","LLPH"
"303","DUSP16"
"304","LSM8"
"305","PPP4R2"
"306","CD83"
"307","HSPA1A"
"308","CATSPER2"
"309","BCAS4"
"310","ABCB10"
"311","ZNF510"
"312","PRMT2"
"313","SSR3"
"314","FAM111A"
"315","RUFY3"
"316","TPT1-AS1"
"317","SEC24D"
"318","ATP6V1A"
"319","JAGN1"
"320","TPM1"
"321","PTGER4"
"322","PKD2"
"323","INPP4B"
"324","DNAJC7"
"325","CFAP97"
"326","ELMOD2"
"327","ARHGAP5"
"328","NFKBID"
"329","HLF"
"330","ZNF611"
"331","AARS2"
"332","IPO7"
"333","USP28"
"334","ZNF26"
"335","KIF3A"
"336","SLC14A1"
"337","CHML"
"338","MYCBP"
"339","ARL5B"
"340","LIAS"
"341","MALAT1"
"342","RAB11A"
"343","TMEM167A"
"344","EIF4A3"
"345","BAG5"
"346","UBE3B"
"347","SKP1"
"348","FAM200B"
"349","CCDC146"
"350","SLC31A2"
"351","PCYOX1"
"352","ESRRA"
"353","NANOS1"
"354","MCAM"
"355","MYEF2"
"356","RBSN"
"357","SRGN"
"358","TMEM135"
"359","TDRD3"
"360","TBK1"
"361","ID3"
"362","CYSLTR2"
"363","HM13"
"364","TNFSF13B"
"365","C11orf58"
"366","HSPH1"
"367","FAM53C"
"368","NUDT15"
"369","ARID4A"
"370","RRM2B"
"371","RBM28"
"372","FAM169A"
"373","JKAMP"
"374","COG2"
"375","RNF43"
"376","PAXIP1"
"377","FUT11"
"378","IMMP1L"
"379","MFSD4B"
"380","FBXO45"
"381","ARL14EP"
"382","MRPS31"
"383","GPCPD1"
"384","BLMH"
"385","ZNF621"
"386","C17orf75"
"387","KPNA5"
"388","TTPAL"
"389","ZBTB1"
"390","CDC7"
"391","SPECC1L"
"392","NR1D1"
"393","TXLNA"
"394","PFDN6"
"395","BACH2"
"396","JMY"
"397","LIN54"
"398","DYRK3"
"399","FICD"
"400","C1orf159"
"401","PRF1"
"402","GKAP1"
"403","PDS5B"
"404","TRIM24"
"405","TAF13"
"406","ZNF721"
"407","PELO"
"408","CCDC138"
"409","EEA1"
"410","LPGAT1"
"411","AP3S2"
"412","SMC3"
"413","CSNK2A1"
"414","AL645728.1"
"415","CTSA"
"416","PLCH2"
"417","TIMM22"
"418","ZNF33A"
"419","CLUAP1"
"420","NCOA7"
"421","WDR89"
"422","APTX"
"423","NDC80"
"424","LYRM7"
"425","DIMT1"
"426","ZC3H13"
"427","JADE1"
"428","ZNF33B"
"429","MPDU1"
"430","OGG1"
"431","ZNF737"
"432","ZNF268"
"433","DDX60L"
"434","ORC5"
"435","HSP90B1"
"436","CYB5R4"
"437","RUNX1"
"438","TMTC4"
"439","FRMD4A"
"440","CAST"
"441","S100A11"
"442","LRRC37B"
"443","PDZD8"
"444","METTL15"
"445","ADAMTS6"
"446","BTBD7"
"447","SEC24A"
"448","ERMARD"
"449","TAF5L"
"450","P2RX4"
"451","ATG3"
"452","ATAD1"
"453","PAK1"
"454","DCAF4"
"455","NR4A3"
"456","RSBN1L"
"457","INO80D"
"458","LNX2"
"459","ZFP36"
"460","MAST4"
"461","ZNF626"
"462","ACTN1"
"463","SLF1"
"464","ADH5"
"465","DHX35"
"466","TYW5"
"467","APPL1"
"468","LDHA"
"469","POLG2"
"470","STX12"
"471","GLCCI1"
"472","SREK1IP1"
"473","NEU1"
"474","PPARA"
"475","IWS1"
"476","PPM1K"
"477","SAMD12"
"478","SLC33A1"
"479","NAGPA"
"480","KIF1B"
"481","ASPH"
"482","SPOPL"
"483","SLC39A8"
"484","RELL2"
"485","YIPF5"
"486","STARD3NL"
"487","DUSP18"
"488","KIAA1586"
"489","CCDC14"
"490","HHAT"
"491","BICD2"
"492","AGO3"
"493","BBS4"
"494","AEBP2"
"495","ACER3"
"496","SH3YL1"
"497","TMEM170A"
"498","ZNF224"
"499","SNX14"
"500","NMI"
"501","WRAP73"
"502","FBXO38"
"503","KAT6B"
"504","NDFIP1"
"505","FZD3"
"506","STAT5A"
"507","C1orf50"
"508","PLEKHA8"
"509","NGRN"
"510","CDKN1C"
"511","ZNF805"
"512","TCF7L2"
"513","PAPSS1"
"514","RBM27"
"515","ZFP14"
"516","ZNF264"
"517","AP4M1"
"518","NDUFB6"
"519","SLC2A3"
"520","CYTH3"
"521","TACC1"
"522","ODF2L"
"523","PDE4A"
"524","BCL2A1"
"525","NFATC2IP"
"526","HCST"
"527","BMPR2"
"528","YES1"
"529","ARID1B"
"530","ERCC6"
"531","RPP38"
"532","GNPTAB"
"533","CEP170"
"534","MEGF9"
"535","UBE3A"
"536","ZMYM4"
"537","RUNDC1"
"538","LTK"
"539","REST"
"540","ZNF22"
"541","HSPBAP1"
"542","ZNF516"
"543","NIPA2"
