"","gene_name","start_use","end_use"
"CNOT6L","CNOT6L",7412,7426
"MOB1B","MOB1B",7381,7387
"DMXL1","DMXL1",7524,7529
"SEC63","SEC63",8034,8040
"CEP128","CEP128",3196,3196
"ZNF587","ZNF587",5235,5243
"TTC14","TTC14",6802,6804
"ZDHHC21","ZDHHC21",9778,9779
"MCPH1","MCPH1",9476,9484
"PTPN7","PTPN7",453,467
"REC8","REC8",2993,3015
"TTC37","TTC37",7993,7998
"BEST1","BEST1",1918,1933
"PAK1IP1","PAK1IP1",8026,8039
"CD59","CD59",1829,1838
"ATE1","ATE1",1233,1235
"ZNF107","ZNF107",9128,9132
"ETFDH","ETFDH",7230,7235
"GPSM2","GPSM2",52,57
"TRAF2","TRAF2",9755,9777
"CTH","CTH",956,959
"CPEB3","CPEB3",1596,1600
"TMEM209","TMEM209",8904,8908
"TMEM161B","TMEM161B",7979,7984
"RABEPK","RABEPK",9618,9626
"GABARAPL1","GABARAPL1",2214,2231
"NAP1L5","NAP1L5",7469,7477
"TMEM8A","TMEM8A",3663,3717
"CYB5D2","CYB5D2",4134,4188
"ATXN7L3B","ATXN7L3B",2645,2646
"SLC36A4","SLC36A4",2206,2207
"AK1","AK1",9627,9655
"ATAD2","ATAD2",9270,9275
"FHIT","FHIT",7036,7042
"SERINC5","SERINC5",7944,7962
"SNED1","SNED1",5676,5704
"CDC14A","CDC14A",14,35
"PHKB","PHKB",3734,3740
"SYT11","SYT11",271,285
"POGLUT1","POGLUT1",6612,6616
"TRPM7","TRPM7",3351,3355
"HAGHL","HAGHL",3793,3887
"PARP11","PARP11",2484,2506
"NDUFA3","NDUFA3",5164,5181
"NUS1","NUS1",8069,8074
"BBX","BBX",6550,6558
"TES","TES",8855,8864
"TNFAIP8","TNFAIP8",7529,7562
"NOL8","NOL8",9928,9931
"ZDHHC17","ZDHHC17",2647,2653
"SH3GLB1","SH3GLB1",1004,1006
"SETDB1","SETDB1",200,215
"LINC00987","LINC00987",2696,2704
"FAM133B","FAM133B",9176,9185
"FTH1","FTH1",1918,1933
"SPEN","SPEN",309,356
"BIRC3","BIRC3",1601,1621
"UQCC3","UQCC3",1934,1959
"EIF2AK4","EIF2AK4",3271,3282
"SLC7A1","SLC7A1",2790,2794
"ZMYM6","ZMYM6",805,810
"APOL6","APOL6",6412,6419
"SPAST","SPAST",5754,5758
"ZNF91","ZNF91",4759,4764
"FGF9","FGF9",2768,2774
"RWDD1","RWDD1",8056,8065
"HSD17B4","HSD17B4",7562,7562
"ZNF766","ZNF766",5135,5145
"UFM1","UFM1",2834,2835
"DIP2C","DIP2C",1354,1563
"LINC01220","LINC01220",3160,3174
"C4orf46","C4orf46",7230,7234
"MAK16","MAK16",9387,9395
"OSM","OSM",6376,6397
"SRSF7","SRSF7",5759,5776
"RAD50","RAD50",7594,7607
"FXN","FXN",9867,9878
"HIST1H2BE","HIST1H2BE",8367,8395
"UBE2W","UBE2W",9486,9494
"FAM210B","FAM210B",6110,6122
"ERGIC1","ERGIC1",7798,7811
"C12orf43","C12orf43",2342,2356
"ZNF699","ZNF699",5258,5265
"PPP1R15A","PPP1R15A",5065,5091
"SLC12A2","SLC12A2",7574,7576
"P3H1","P3H1",885,892
"SPG21","SPG21",3398,3417
"MED28","MED28",7261,7264
"GZMA","GZMA",7894,7908
"PPM1N","PPM1N",4954,4985
"FBXO28","FBXO28",611,621
"NOL9","NOL9",923,945
"PDE8A","PDE8A",3522,3532
"RNF19A","RNF19A",9215,9229
"TRMT1L","TRMT1L",443,446
