"","gene","distance","Z","FC","p.value","p.adj"
"114","C1orf56",0.00026786433226659,1.55292623039898,44.2062734662304,2.9553264512586e-11,2.9553264512586e-08
"723","VEZF1",0.00023130443128095,1.51256099552767,32.9626436004889,9.39467782115112e-09,4.69733891057556e-06
"107","FBXW2",0.000220238676405102,1.49918430764875,29.8841773825573,4.58640411422382e-08,1.52880137140794e-05
"972","VPS33A",0.000183809309533108,1.45030933124597,20.8156097021943,5.05691209831963e-06,0.00126422802457991
"992","C2orf69",0.000175767308013011,1.43832791594747,19.0340116775543,1.28409142121452e-05,0.00256818284242904
"291","RPARP-AS1",0.000173678286481886,1.43513328445589,18.584256041167,1.62557549740245e-05,0.00270929249567075
"965","PEX3",0.000170924638378328,1.43086795071981,17.9996254614314,2.2094843731417e-05,0.00275910613419504
"199","RDH11",0.000169887822941309,1.42924558676808,17.7819191351356,2.47726249820376e-05,0.00275910613419504
"68","ZNF766",0.000169219760976652,1.42819541077485,17.6423438968865,2.66586239929984e-05,0.00275910613419504
"796","VPS35",0.000168905913486325,1.4277007361892,17.5769629903815,2.75910613419504e-05,0.00275910613419504
"438","TMTC4",0.000167444173366117,1.4253856225269,17.2740514355719,3.23575560785553e-05,0.00282039646756015
"896","MCM8",0.000165683288692668,1.42257195918788,16.9126453356748,3.91399721196228e-05,0.00282039646756015
"987","LYSMD3",0.000165130877361643,1.42168362061326,16.8000550799314,4.15320973622892e-05,0.00282039646756015
"245","BZW2",0.000164911165883452,1.42132954181557,16.7553788886265,4.25215500331383e-05,0.00282039646756015
"738","CHN1",0.000164272001858007,1.42029702131768,16.625749321059,4.55286968268172e-05,0.00282039646756015
"710","LINC00672",0.000164020725053645,1.41989009277398,16.5749254441566,4.67652567244943e-05,0.00282039646756015
"613","TRIM8",0.000163649795166345,1.4192883457734,16.5000424282818,4.86489855328465e-05,0.00282039646756015
"869","DBT",0.000163248630181094,1.41863613855615,16.4192464065954,5.07671364160827e-05,0.00282039646756015
"900","CHCHD7",0.000159310770633805,1.41215474495198,15.6366748579944,7.67514843237902e-05,0.00403955180651527
"744","HOOK3",0.000158727814926261,1.41118277709234,15.5224476659876,8.15312933392246e-05,0.00407656466696123
"683","KDM6B",0.000143068096811331,1.38376444178678,12.6107155184842,0.00038354165907711,0.0182638885274814
"191","ADNP",0.000142122005813934,1.38202099222583,12.4444808933983,0.000419228788165487,0.0190558540075222
"785","UBA6",0.000136826481189836,1.3720611698745,11.5343850499899,0.000683206729875507,0.0297046404293699
"515","ZFP14",0.000132005070736185,1.36268039674012,10.7358233570979,0.00105081237039583,0.0420324948178842
