"","gene_name","start_use","end_use"
"STXBP4","STXBP4",1690,1690
"WNT5B","WNT5B",896,915
"ATXN7L1","ATXN7L1",3094,3110
"TTI2","TTI2",3377,3388
"ADAM22","ADAM22",3234,3235
"THEMIS","THEMIS",2847,2854
"SCMH1","SCMH1",267,271
"INTS10","INTS10",3327,3331
"HEATR5A","HEATR5A",1207,1210
"TECPR2","TECPR2",1161,1180
"REST","REST",2645,2650
"SSBP2","SSBP2",2787,2799
"CLVS1","CLVS1",3430,3431
"RP9","RP9",3178,3185
"SMURF1","SMURF1",3241,3248
"SNX21","SNX21",2289,2303
"SLC13A4","SLC13A4",3144,3147
"SARM1","SARM1",1677,1689
"HTATIP2","HTATIP2",630,635
"SPATS2","SPATS2",954,969
"DNM3","DNM3",60,65
"IP6K1","IP6K1",2463,2481
"TRIT1","TRIT1",246,266
"NAA38","NAA38",1743,1758
"APPBP2","APPBP2",1716,1725
"PACRG","PACRG",2978,2979
"MDFIC","MDFIC",3127,3140
"NBEA","NBEA",1117,1117
"TTC7A","TTC7A",2206,2218
"SLX4IP","SLX4IP",2274,2279
"STAU2","STAU2",3442,3443
"RASGRP3","RASGRP3",2193,2195
"MRPL2","MRPL2",3033,3050
"HEATR4","HEATR4",1257,1271
"STARD4","STARD4",2670,2673
"MFSD14C","MFSD14C",3627,3629
"MIPEP","MIPEP",1109,1115
"SRGAP3","SRGAP3",2544,2550
"BMT2","BMT2",3124,3126
"FAM214A","FAM214A",1390,1403
"ABL2","ABL2",80,94
"RRAS2","RRAS2",618,629
"KRCC1","KRCC1",2243,2249
"UBALD1","UBALD1",1527,1553
"RB1","RB1",1118,1141
"ZBTB1","ZBTB1",1233,1243
"LINC01550","LINC01550",1292,1298
"ACSM3","ACSM3",1518,1526
"RNF169","RNF169",695,699
"TSHZ1","TSHZ1",1782,1794
"CUL4A","CUL4A",1092,1108
"AC013264.1","AC013264.1",2079,2129
"CD69","CD69",1064,1091
"ATP2C1","ATP2C1",2397,2401
"RORA","RORA",1425,1442
"SPPL2A","SPPL2A",1359,1362
"GPATCH3","GPATCH3",212,230
"RNF130","RNF130",2739,2753
"SGO2","SGO2",2130,2138
"PDP2","PDP2",1561,1580
"RNASE2","RNASE2",1181,1192
"PKP4","PKP4",1961,1963
"RRM1","RRM1",636,645
"CYB5B","CYB5B",1581,1595
"XKR6","XKR6",3249,3259
