"","x"
"1","STXBP4"
"2","WNT5B"
"3","ATXN7L1"
"4","TTI2"
"5","ADAM22"
"6","THEMIS"
"7","SCMH1"
"8","INTS10"
"9","HEATR5A"
"10","TECPR2"
"11","REST"
"12","SSBP2"
"13","CLVS1"
"14","RP9"
"15","SMURF1"
"16","SNX21"
"17","SLC13A4"
"18","SARM1"
"19","HTATIP2"
"20","SPATS2"
"21","DNM3"
"22","IP6K1"
"23","TRIT1"
"24","NAA38"
"25","APPBP2"
"26","PACRG"
"27","MDFIC"
"28","NBEA"
"29","TTC7A"
"30","SLX4IP"
"31","STAU2"
"32","RASGRP3"
"33","MRPL2"
"34","HEATR4"
"35","STARD4"
"36","MFSD14C"
"37","MIPEP"
"38","SRGAP3"
"39","BMT2"
"40","FAM214A"
"41","ABL2"
"42","RRAS2"
"43","KRCC1"
"44","UBALD1"
"45","RB1"
"46","ZBTB1"
"47","LINC01550"
"48","ACSM3"
"49","RNF169"
"50","TSHZ1"
"51","CUL4A"
"52","AC013264.1"
"53","CD69"
"54","ATP2C1"
"55","RORA"
"56","SPPL2A"
"57","GPATCH3"
"58","RNF130"
"59","SGO2"
"60","PDP2"
"61","RNASE2"
"62","PKP4"
"63","RRM1"
"64","CYB5B"
"65","XKR6"
"66","HECW2"
"67","OPA3"
"68","NUBPL"
"69","PHF21A"
"70","SLC25A20"
"71","PDE5A"
"72","HIBADH"
"73","EPB41L5"
"74","OAS1"
"75","RPS23"
"76","RAB27A"
"77","PEX3"
"78","PARPBP"
"79","AK9"
"80","CCDC112"
"81","PTK2B"
"82","LINC00265"
"83","FAM13B"
"84","MAK"
"85","BMPR1A"
"86","LRRN3"
"87","ADAM17"
"88","HIVEP3"
"89","NAPEPLD"
"90","VMP1"
"91","DMXL1"
"92","FGFR1"
"93","CAMK2D"
"94","VRK1"
"95","RBM47"
"96","ETFDH"
"97","GFPT1"
"98","MAN2A1"
"99","HARS2"
"100","NQO2"
"101","LINC00173"
"102","HAT1"
"103","TTC19"
"104","AMN1"
"105","STRADB"
"106","ANKRD28"
"107","APOLD1"
"108","RPL38"
"109","TRIM16"
"110","SRD5A3"
"111","MCU"
"112","CAMK1D"
"113","ASH2L"
"114","RPL29"
"115","KLF5"
"116","PHKB"
"117","SENP5"
"118","TSC1"
"119","GRAP"
"120","SLC17A5"
"121","RABGEF1"
"122","FBXW8"
"123","CAMSAP2"
"124","USP38"
"125","MAL"
"126","CHML"
"127","ACAD11"
"128","SH2D3C"
"129","C1S"
"130","YIPF1"
"131","B3GLCT"
"132","KIAA2026"
"133","CDC14B"
"134","FAM216A"
"135","C20orf194"
"136","PVT1"
"137","TET2"
"138","CENPP"
"139","NUDT19"
"140","FTO"
"141","NADK2"
"142","SLC25A37"
"143","NPTXR"
"144","C2orf74"
"145","GNB1"
"146","EIF2AK2"
"147","PIBF1"
"148","ARSB"
"149","HMGXB4"
"150","SNX4"
"151","KDM7A"
"152","MADCAM1"
"153","CERS3"
"154","TAF3"
"155","TMEM184C"
"156","ZBTB5"
"157","GLCCI1"
"158","SFXN4"
"159","PTPDC1"
"160","CENPA"
"161","TCF4"
"162","NT5DC1"
"163","ECT2L"
"164","NBPF15"
"165","ROCK1"
"166","ARHGAP19"
"167","SPATA6L"
"168","SLC25A26"
"169","WDR76"
"170","DNAJC1"
"171","ALG14"
"172","WDFY2"
"173","SLC36A4"
"174","CLEC4A"
"175","HKDC1"
"176","SRD5A1"
"177","RPL31"
"178","AC064834.1"
"179","RPL17"
"180","RILPL1"
"181","TAB2"
"182","RPS25"
"183","RBM18"
"184","ATP6V1D"
"185","CTBP2"
"186","RNF34"
"187","MFSD6"
"188","SPDL1"
"189","RAB8B"
"190","TMCC1"
"191","GMEB1"
"192","RMND1"
"193","BCKDHB"
"194","L3MBTL3"
"195","ZNF19"
"196","TCAIM"
"197","RNF170"
"198","BTBD7"
"199","MICAL2"
"200","NFKBIZ"
"201","KCNQ5"
"202","MTRR"
"203","CPPED1"
"204","RBMS1"
"205","ZNF569"
"206","IFT172"
"207","MAP3K5"
"208","PCNX4"
"209","ANKRD13C"
"210","PALLD"
"211","C5orf63"
"212","OPRM1"
"213","UPP2"
"214","RSU1"
"215","SMG9"
"216","ZFYVE1"
"217","MTSS1"
"218","STK39"
"219","FMO5"
"220","RRP12"
"221","ETFA"
"222","FRMD3"
"223","SORBS1"
"224","MSL2"
"225","PHLPP2"
"226","CHST11"
"227","PAAF1"
"228","CBWD1"
"229","KLHL42"
"230","SLC35G1"
"231","SECISBP2L"
"232","KANSL1L"
"233","SGK3"
"234","PRKCZ"
"235","DDX58"
"236","DNM1L"
"237","LRRC23"
"238","CTNNA1"
"239","MBOAT1"
"240","RNF2"
"241","KIAA1324"
"242","METAP1D"
"243","CCDC30"
"244","HABP4"
"245","LRFN2"
"246","SCYL2"
"247","ARID3B"
"248","UBR7"
"249","GNS"
"250","NARS2"
"251","TMTC3"
"252","DENND6A"
"253","AC114763.1"
"254","PIGK"
"255","PDE6D"
"256","CUBN"
"257","KYAT3"
"258","SP4"
"259","HERC1"
"260","RPL37"
"261","TOR1B"
"262","NEK7"
"263","MASTL"
"264","MAPK6"
"265","CLDN12"
"266","MAST4"
"267","NUP205"
"268","CHSY1"
"269","CCDC92"
"270","E2F3"
"271","A2M"
"272","LINC00862"
"273","CAPS"
"274","NME9"
"275","RASA1"
"276","PGLS"
"277","BRMS1L"
"278","ANKAR"
"279","TMEM120B"
"280","CUX1"
"281","LIN54"
"282","LINC01524"
"283","TMOD3"
"284","CMSS1"
"285","CCNH"
"286","LRIG1"
"287","EXOC6"
"288","HK2"
"289","DHRS4L2"
"290","KLF3-AS1"
"291","METTL8"
"292","SLC25A33"
"293","SEC61A2"
"294","MTHFD1L"
"295","CDC14A"
"296","LRRC8B"
"297","SNAP47"
"298","EGLN1"
"299","SMG6"
"300","RPS6KA4"
