"","x"
"1","chr1-100350863-100355404"
"2","chr1-100356236-100360628"
"3","chr1-100361157-100361600"
"4","chr1-100362909-100363246"
"5","chr1-100364750-100365161"
"6","chr1-100377633-100378387"
"7","chr1-100380733-100381100"
"8","chr1-100382282-100383067"
"9","chr1-100386081-100389532"
"10","chr1-100390465-100390982"
"11","chr1-100391501-100392279"
"12","chr1-100393356-100394882"
"13","chr1-100396108-100398774"
"14","chr1-100399709-100401216"
"15","chr1-100402760-100403964"
"16","chr1-100405602-100406328"
"17","chr1-100411874-100412127"
"18","chr1-100413028-100413809"
"19","chr1-100414331-100415498"
"20","chr1-100419244-100419414"
"21","chr1-100422275-100424506"
"22","chr1-100428102-100428477"
"23","chr1-100431858-100432339"
"24","chr1-100439034-100442223"
"25","chr1-100443684-100446619"
"26","chr1-100449177-100450775"
"27","chr1-100452174-100453315"
"28","chr1-100455472-100455932"
"29","chr1-100459059-100460078"
"30","chr1-100463646-100464460"
"31","chr1-100522882-100523701"
"32","chr1-109040203-109043042"
"33","chr1-109072385-109074076"
"34","chr1-109075020-109077052"
"35","chr1-109089132-109092484"
"36","chr1-109099297-109102259"
"37","chr1-109104510-109105139"
"38","chr1-109111378-109114781"
"39","chr1-109133631-109134781"
"40","chr1-109161762-109163885"
"41","chr1-109193587-109194212"
"42","chr1-109199473-109200306"
"43","chr1-109201149-109201521"
"44","chr1-109213132-109215386"
"45","chr1-109239333-109242381"
"46","chr1-109248899-109250950"
"47","chr1-109253425-109253870"
"48","chr1-109263144-109264449"
"49","chr1-144411950-144413529"
"50","chr1-144418713-144419495"
"51","chr1-144460968-144461870"
"52","chr1-144523740-144524543"
"53","chr1-144532068-144532648"
"54","chr1-144534183-144534779"
"55","chr1-144545759-144547380"
"56","chr1-147171276-147173898"
"57","chr1-147224796-147226238"
"58","chr1-147241950-147243983"
"59","chr1-147247382-147247499"
"60","chr1-147273750-147274092"
"61","chr1-172090165-172090631"
"62","chr1-172117731-172118236"
"63","chr1-172135113-172135237"
"64","chr1-172154552-172155026"
"65","chr1-172180627-172182101"
"66","chr1-172185146-172185671"
"67","chr1-1726266-1726465"
"68","chr1-1728310-1729507"
"69","chr1-1730833-1732932"
"70","chr1-1737876-1738151"
"71","chr1-1745493-1747538"
"72","chr1-1748703-1749480"
"73","chr1-1752820-1753717"
"74","chr1-1758726-1759939"
"75","chr1-1763950-1765436"
"76","chr1-1775339-1776272"
"77","chr1-1776828-1783991"
"78","chr1-1784651-1785052"
"79","chr1-1788146-1788493"
"80","chr1-1789004-1789445"
"81","chr1-179034092-179035539"
"82","chr1-179037012-179037982"
"83","chr1-179078910-179079781"
"84","chr1-179080598-179083999"
"85","chr1-179088565-179089575"
"86","chr1-179105507-179105712"
"87","chr1-179121057-179121539"
"88","chr1-179129205-179130605"
"89","chr1-179141009-179143764"
"90","chr1-179145728-179145914"
"91","chr1-179175038-179176124"
"92","chr1-179190750-179191400"
"93","chr1-179228341-179230632"
"94","chr1-179292258-179295714"
"95","chr1-179296951-179299579"
"96","chr1-1796403-1796909"
"97","chr1-1833500-1834360"
"98","chr1-1840241-1840746"
"99","chr1-1841359-1843247"
"100","chr1-1847817-1848366"
"101","chr1-1849143-1849675"
"102","chr1-184972811-184975859"
"103","chr1-184981991-184982583"
"104","chr1-185040881-185041343"
"105","chr1-185044672-185046654"
"106","chr1-185153638-185154238"
"107","chr1-185155194-185158457"
