"","x"
"1","chr1-100024186-100024911"
"2","chr1-100028435-100029362"
"3","chr1-100037655-100038472"
"4","chr1-100038699-100039431"
"5","chr1-1000456-1001117"
"6","chr1-100046598-100047425"
"7","chr1-100132565-100133470"
"8","chr1-1001655-1002472"
"9","chr1-100249452-100250336"
"10","chr1-100265754-100266670"
"11","chr1-100277477-100278576"
"12","chr1-100351312-100351987"
"13","chr1-100352104-100352741"
"14","chr1-100377649-100378744"
"15","chr1-100386010-100386964"
"16","chr1-100388777-100389749"
"17","chr1-100390249-100391032"
"18","chr1-100391460-100392325"
"19","chr1-100393824-100394729"
"20","chr1-100396425-100397311"
"21","chr1-100400131-100401026"
"22","chr1-100405667-100406437"
"23","chr1-100412088-100412820"
"24","chr1-100412939-100413572"
"25","chr1-100414402-100415329"
"26","chr1-100423690-100424542"
"27","chr1-100431521-100432471"
"28","chr1-100439890-100440787"
"29","chr1-100441383-100442324"
"30","chr1-100443743-100444584"
"31","chr1-100445320-100446215"
"32","chr1-100452361-100453269"
"33","chr1-100455273-100456190"
"34","chr1-100459241-100460096"
"35","chr1-100463454-100464351"
"36","chr1-100475332-100476265"
"37","chr1-1013041-1013957"
"38","chr1-1019188-1020014"
"39","chr1-10210009-10210912"
"40","chr1-10307661-10308569"
"41","chr1-10324374-10325243"
"42","chr1-1032756-1033651"
"43","chr1-10337552-10338635"
"44","chr1-1040425-1041339"
"45","chr1-1059174-1060045"
"46","chr1-1063775-1064671"
"47","chr1-1068847-1069590"
"48","chr1-1079468-1080378"
"49","chr1-108827854-108828767"
"50","chr1-108876584-108877496"
"51","chr1-108897855-108898750"
"52","chr1-108956428-108957332"
"53","chr1-108960924-108961768"
"54","chr1-108962915-108963825"
"55","chr1-109027695-109028605"
"56","chr1-109041688-109042579"
"57","chr1-109075601-109076499"
"58","chr1-109090301-109091213"
"59","chr1-109099735-109100608"
"60","chr1-109112345-109113056"
"61","chr1-109113545-109114446"
"62","chr1-109121981-109123251"
"63","chr1-109161962-109162888"
"64","chr1-109532135-109532937"
"65","chr1-109546023-109546925"
"66","chr1-109548202-109549075"
"67","chr1-109602971-109603866"
"68","chr1-109615668-109616573"
"69","chr1-109617148-109618032"
"70","chr1-109619288-109620101"
"71","chr1-109620619-109621485"
"72","chr1-109630037-109630929"
"73","chr1-109639954-109640865"
"74","chr1-109643080-109643975"
"75","chr1-109655708-109656640"
"76","chr1-109667601-109668481"
"77","chr1-109669746-109670477"
"78","chr1-109687333-109688217"
"79","chr1-1098865-1099752"
"80","chr1-109905923-109906835"
"81","chr1-109910347-109911193"
"82","chr1-109984256-109985151"
"83","chr1-110003724-110004638"
"84","chr1-110011390-110012256"
"85","chr1-110029309-110030205"
"86","chr1-110030797-110031659"
"87","chr1-110034199-110035045"
